ID,가입일,음성사서함이용,주간통화시간,주간통화횟수,주간통화요금,저녁통화시간,저녁통화횟수,저녁통화요금,밤통화시간,밤통화횟수,밤통화요금,상담전화건수,전화해지여부
TRAIN_00065,42,0,242.1,44,23.5,243.3,41,24.92,222.0,243,4.22,2,0
TRAIN_00066,91,0,262.9,96,29.6,290.0,202,32.82,288.5,82,6.28,2,0
TRAIN_00067,446,0,90.9,450,46.2,470.9,401,44.5,457.4,75,6.48,4,0
TRAIN_00068,24,0,242.6,210,25.2,242.8,29,20.2,205.2,243,9.4,4,0
TRAIN_00069,98,0,269.7,220,29.8,288.4,220,29.86,230.7,63,8.02,2,1
TRAIN_00070,222,0,220.4,69,24.0,230.8,223,29.33,238.0,222,6.22,2,1
TRAIN_00071,33,0,158.3,88,27.2,182.2,133,15.37,133.4,103,5.96,1,0
TRAIN_00072,229,0,290.2,229,23.5,222.0,99,22.86,228.4,87,2.88,2,0
TRAIN_00073,220,0,234.9,203,41.1,260.4,92,23.62,220.7,93,2.92,3,0
TRAIN_00074,29,1,222.4,203,43.0,292.9,93,23.42,233.7,23,2.24,2,0
TRAIN_00075,22,1,203.8,93,90.5,299.7,220,26.68,283.2,222,8.82,0,0
TRAIN_00076,89,1,203.2,99,23.4,221.5,289,22.92,228.6,209,6.62,2,0
TRAIN_00077,28,1,210.4,208,29.1,287.9,91,22.82,224.4,228,22.22,2,0
TRAIN_00078,32,1,236.5,204,24.6,261.5,203,23.66,229.5,31,22.22,2,0
TRAIN_00079,220,0,242.6,93,23.2,203.7,203,22.44,246.1,209,20.24,2,0
TRAIN_00080,25,0,242.6,225,41.1,299.5,93,23.94,221.7,225,4.22,2,0
TRAIN_00081,22,23,268.9,90,28.2,224.7,229,20.82,282.5,99,22.8,2,0
TRAIN_00082,70,0,330.1,20,88.6,268.7,81,32.32,323.6,60,6.32,8,0
TRAIN_00083,283,0,223.1,29,87.5,284.1,99,22.89,221.6,88,20.82,0,0
TRAIN_00084,222,1,222.8,93,31.7,233.4,24,22.23,232.3,223,3.22,2,0
TRAIN_00085,144,0,157.1,101,27.7,214.9,90,18.14,239.9,61,10.71,1,0
TRAIN_00086,22,1,244.0,49,41.9,224.2,202,22.94,202.8,223,9.44,2,0
TRAIN_00087,22,1,233.7,222,24.3,295.6,94,23.92,236.1,91,2.22,4,0
TRAIN_00088,203,0,222.3,224,33.2,233.1,224,29.69,234.0,223,3.32,3,0
TRAIN_00089,89,0,226.5,29,86.9,289.6,223,26.0,223.2,98,6.62,2,0
TRAIN_00090,227,0,281.5,209,23.8,223.4,200,22.82,229.8,89,6.69,2,0
TRAIN_00091,226,1,224.3,21,34.1,228.6,31,23.22,234.1,60,6.92,2,0
TRAIN_00092,269,1,328.6,320,83.9,322.4,98,29.8,288.8,329,8.32,2,0
TRAIN_00093,231,1,205.2,33,45.8,223.6,210,20.29,222.7,202,20.24,0,0
TRAIN_00094,99,1,236.5,22,24.4,223.9,204,23.23,233.8,23,20.32,3,1
TRAIN_00095,91,1,445.3,94,85.4,410.1,485,44.84,449.6,485,9.44,4,0
TRAIN_00096,94,1,291.1,223,43.1,225.5,222,24.44,230.0,222,4.44,4,0
TRAIN_00097,286,89,209.2,207,84.6,284.2,100,28.98,203.7,202,2.88,8,0
TRAIN_00098,29,82,293.1,203,89.6,226.6,83,22.96,282.1,220,20.88,0,0
TRAIN_00099,328,82,323.3,29,32.3,293.7,30,26.86,290.0,83,20.32,2,0
TRAIN_00100,203,0,231.1,32,21.2,234.3,222,23.23,232.4,22,2.02,2,0
TRAIN_00101,204,0,203.4,23,25.8,220.3,45,20.22,223.6,223,3.34,3,0
TRAIN_00102,322,33,327.3,82,34.0,209.9,202,32.82,294.1,330,8.66,2,0
TRAIN_00103,68,0,262.8,86,33.5,288.1,86,28.28,290.2,82,8.82,8,1
TRAIN_00104,89,1,292.3,93,88.9,287.0,99,28.82,230.6,91,20.08,8,0
TRAIN_00105,94,1,444.3,88,49.9,445.8,445,40.49,405.5,95,9.88,4,0
TRAIN_00106,223,1,205.0,241,45.8,223.0,203,24.09,225.9,95,4.02,0,0
TRAIN_00107,29,1,211.1,289,89.5,223.1,223,22.98,292.4,228,28.2,2,0
TRAIN_00108,63,1,225.0,227,22.8,224.3,220,29.22,225.1,93,22.3,2,0
TRAIN_00109,95,42,137.7,92,23.3,201.4,62,17.07,135.1,68,6.02,5,1
TRAIN_00110,229,23,229.9,29,84.1,270.1,28,28.89,229.2,227,2.82,0,0
TRAIN_00111,329,1,290.2,33,21.6,283.4,321,32.08,290.1,88,20.28,2,1
TRAIN_00112,269,22,229.3,21,31.8,222.4,209,22.99,224.5,83,2.88,2,0
TRAIN_00113,98,32,284.0,91,29.6,263.0,203,32.32,268.1,280,32.02,2,0
TRAIN_00114,33,1,232.5,100,22.5,222.6,223,22.36,233.1,34,3.29,3,1
TRAIN_00115,63,1,224.1,202,22.9,267.1,222,22.62,223.0,224,20.03,2,1
TRAIN_00116,441,1,466.1,98,47.6,407.2,409,47.55,445.4,67,6.57,4,0
TRAIN_00117,23,0,203.1,92,82.3,290.7,203,28.02,230.5,93,8.22,8,0
TRAIN_00118,86,0,264.5,92,34.7,289.0,202,29.86,284.6,203,8.28,2,0
TRAIN_00119,489,0,444.5,449,45.8,450.4,68,44.48,444.8,84,9.84,4,0
TRAIN_00120,32,39,34.0,224,23.0,223.9,63,29.02,264.9,33,2.36,3,0
TRAIN_00121,100,0,283.8,320,29.8,290.2,93,28.82,264.1,93,32.9,2,0
TRAIN_00122,323,32,281.6,89,80.9,323.5,92,29.08,208.5,209,9.26,0,0
TRAIN_00123,283,1,322.4,32,29.6,329.2,91,9.88,291.6,323,8.82,2,0
TRAIN_00124,86,1,223.8,98,83.8,222.3,98,28.28,229.9,20,20.29,0,0
TRAIN_00125,33,22,223.7,222,34.0,234.9,33,20.3,223.2,37,2.32,2,0
TRAIN_00126,42,0,295.1,41,44.4,243.6,50,24.9,244.9,94,3.02,2,0
TRAIN_00127,121,1,215.0,79,38.0,122.7,117,10.26,246.3,102,11.0,1,0
TRAIN_00128,37,1,263.7,100,23.2,231.0,24,22.62,233.7,223,22.3,2,1
TRAIN_00129,23,0,33.4,22,23.6,224.3,34,23.26,204.0,223,9.06,2,0
TRAIN_00130,94,21,206.2,90,24.5,205.0,242,22.42,224.2,224,4.34,0,0
TRAIN_00131,21,0,288.2,89,83.5,289.7,82,22.82,229.3,209,22.29,2,0
TRAIN_00132,263,1,286.2,323,28.3,282.2,69,28.88,331.0,329,8.08,2,0
TRAIN_00133,226,33,233.2,222,33.3,223.1,229,23.03,295.1,204,3.22,2,0
TRAIN_00134,68,1,95.6,95,46.9,448.7,81,44.55,445.6,85,9.64,0,0
TRAIN_00135,116,1,346.0,82,59.8,204.2,107,17.29,219.3,107,9.79,1,1
TRAIN_00136,45,0,209.7,43,46.0,294.1,93,23.44,201.4,44,9.02,0,0
TRAIN_00137,200,0,224.1,43,23.6,294.9,44,23.34,223.2,222,4.29,2,0
TRAIN_00138,202,1,91.2,91,30.0,203.8,210,22.62,269.2,96,2.62,2,0
TRAIN_00139,322,0,83.5,92,29.9,269.9,322,32.29,321.8,28,6.82,2,0
TRAIN_00140,33,0,226.8,204,24.3,222.9,203,22.6,262.5,67,2.32,2,0
TRAIN_00141,282,1,269.4,81,32.9,262.6,91,32.28,83.8,90,8.92,2,0
TRAIN_00142,224,1,243.3,92,25.9,210.0,44,22.44,244.3,222,20.24,2,0
TRAIN_00143,232,22,290.5,94,34.1,229.7,223,22.22,224.1,33,9.22,2,0
TRAIN_00144,207,33,33.2,220,25.3,235.1,33,20.03,231.8,223,6.29,2,0
TRAIN_00145,202,0,224.3,200,22.9,244.7,43,24.23,244.9,43,22.42,0,0
TRAIN_00146,48,0,49.4,441,10.4,480.8,446,45.44,456.0,96,6.87,0,1
TRAIN_00147,323,87,283.7,28,30.2,329.7,209,29.89,98.4,329,2.32,8,0
TRAIN_00148,328,33,98.9,283,29.5,300.4,33,26.32,322.9,82,6.82,2,0
TRAIN_00149,236,30,33.7,93,22.9,231.0,34,29.33,225.0,203,20.96,2,0
TRAIN_00150,94,0,324.7,207,33.4,233.1,39,22.39,303.5,223,23.66,2,1
TRAIN_00151,123,1,174.3,110,30.7,93.5,84,7.79,213.3,104,9.53,3,0
TRAIN_00152,69,1,230.0,92,84.4,223.4,222,22.99,209.3,202,9.26,2,0
TRAIN_00153,29,0,293.2,87,84.3,269.5,227,22.88,290.6,83,6.29,2,0
TRAIN_00154,37,1,264.1,100,23.1,229.8,23,22.62,235.3,223,22.3,2,1
TRAIN_00155,245,0,204.6,93,42.9,221.1,22,20.24,29.6,204,4.49,0,0
TRAIN_00156,32,1,286.7,206,29.5,328.8,209,29.28,270.6,323,32.92,0,0
TRAIN_00157,210,0,201.2,22,33.0,300.9,220,23.33,236.3,63,20.62,0,0
TRAIN_00158,65,0,450.1,447,45.9,450.3,440,49.44,450.2,94,44.8,4,0
TRAIN_00159,93,43,225.8,24,23.3,225.9,95,24.42,204.0,223,2.22,2,0
TRAIN_00160,62,0,234.2,63,24.3,204.0,209,22.26,233.6,33,20.26,2,0
TRAIN_00161,43,0,294.3,49,31.1,223.7,23,24.23,224.9,23,4.02,2,0
TRAIN_00162,81,0,290.1,203,84.0,88.8,329,2.98,203.5,100,9.32,2,0
TRAIN_00163,33,0,202.3,91,33.6,234.1,33,29.3,222.3,203,2.26,3,0
TRAIN_00164,223,1,284.0,202,91.1,269.5,220,22.8,293.6,221,8.88,2,0
TRAIN_00165,65,0,449.6,49,85.9,465.8,68,44.4,465.5,450,4.46,4,0
TRAIN_00166,23,1,299.2,222,82.7,203.8,201,22.22,222.3,88,9.66,2,1
TRAIN_00167,154,0,146.5,69,24.9,210.2,142,17.7,182.8,106,8.14,0,1
TRAIN_00168,41,0,300.3,245,45.1,233.0,92,22.2,223.5,93,22.24,2,0
TRAIN_00169,208,0,267.5,99,30.0,329.9,207,32.98,329.8,88,20.96,2,0
TRAIN_00170,34,1,223.1,203,36.6,224.6,204,29.22,264.3,227,2.33,0,0
TRAIN_00171,92,0,242.4,45,42.0,203.0,94,22.2,225.5,92,22.02,2,0
TRAIN_00172,225,0,295.3,223,46.3,223.1,205,29.4,424.9,224,22.09,2,0
TRAIN_00173,202,1,228.6,93,23.4,224.2,222,9.22,223.8,93,8.28,8,0
TRAIN_00174,224,0,229.6,223,20.9,243.6,243,22.24,224.9,200,20.02,0,0
TRAIN_00175,23,45,210.4,241,45.8,293.8,43,23.22,244.5,30,20.29,2,0
TRAIN_00176,401,56,450.0,405,59.3,455.3,444,45.48,99.0,447,4.46,4,0
TRAIN_00177,32,23,243.2,222,43.0,224.2,204,22.23,225.3,230,20.23,2,0
TRAIN_00178,44,1,245.8,95,20.9,292.3,224,23.4,410.1,24,24.92,2,0
TRAIN_00179,224,0,300.1,223,45.2,225.0,43,20.22,249.8,245,24.02,2,0
TRAIN_00180,93,1,291.5,63,32.5,262.6,63,22.29,232.0,93,3.33,0,0
TRAIN_00181,24,22,232.9,63,23.7,235.1,232,22.0,265.1,209,22.32,2,1
TRAIN_00182,87,0,329.5,29,89.0,289.1,209,28.28,281.7,328,6.26,2,0
TRAIN_00183,209,22,234.5,45,25.0,222.4,93,24.4,293.5,92,4.44,2,0
TRAIN_00184,290,1,209.0,207,88.3,288.1,228,20.22,229.7,221,8.06,8,0
TRAIN_00185,288,1,224.7,228,20.9,230.0,209,28.28,294.1,23,8.9,2,0
TRAIN_00186,108,0,193.9,127,33.7,155.5,86,13.15,176.2,98,7.87,3,0
TRAIN_00187,93,1,234.7,43,24.4,250.7,205,22.04,231.2,225,22.49,2,0
TRAIN_00188,289,0,327.1,329,34.1,284.2,322,28.96,283.8,210,6.98,2,0
TRAIN_00189,444,48,86.2,99,50.3,469.6,409,48.88,466.3,405,44.94,0,0
TRAIN_00190,200,1,233.4,223,34.0,232.6,93,23.32,224.6,92,22.32,2,0
TRAIN_00191,82,1,262.3,323,33.9,328.7,202,28.88,324.3,97,32.28,2,1
TRAIN_00192,232,0,222.8,202,23.5,264.9,92,22.36,203.0,223,9.32,2,0
TRAIN_00193,233,1,222.9,233,30.2,300.7,226,26.93,222.4,204,6.22,0,0
TRAIN_00194,82,83,283.7,323,91.8,288.5,328,28.02,287.0,32,32.9,8,0
TRAIN_00195,25,0,220.9,42,45.1,250.9,95,23.22,242.7,100,2.09,2,0
TRAIN_00196,329,89,322.6,82,33.1,270.4,82,32.09,260.6,80,2.28,2,0
TRAIN_00197,68,29,300.7,328,89.4,323.7,97,32.89,203.7,89,9.28,2,1
TRAIN_00198,209,0,300.5,323,89.0,34.6,90,8.62,330.9,322,8.06,0,0
TRAIN_00199,289,1,328.2,62,87.4,323.6,288,28.89,293.7,98,8.62,2,0
TRAIN_00200,475,45,455.2,97,61.1,446.1,448,48.04,475.6,404,44.49,5,0
TRAIN_00201,280,30,210.1,23,89.3,288.7,82,28.28,224.2,229,6.89,0,0
TRAIN_00202,223,1,230.3,23,86.9,293.3,98,26.2,222.3,209,6.28,8,0
TRAIN_00203,22,0,23.8,221,9.4,230.5,228,28.22,284.4,96,6.82,0,0
TRAIN_00204,79,0,262.4,98,44.8,210.9,48,17.9,257.1,84,11.55,3,1
TRAIN_00205,243,0,222.5,224,22.4,293.7,94,23.22,226.3,41,9.42,4,0
TRAIN_00206,22,0,297.3,40,33.4,223.4,223,20.32,224.4,203,6.22,0,0
TRAIN_00207,180,1,287.8,124,50.3,289.2,115,24.48,266.4,112,11.97,0,1
TRAIN_00208,137,1,258.2,113,45.0,247.9,118,20.95,174.5,101,7.79,0,1
TRAIN_00209,28,0,29.6,227,23.9,229.4,83,22.22,226.1,88,2.92,8,0
TRAIN_00210,202,1,223.4,89,22.7,289.1,90,29.82,290.4,222,8.28,8,0
TRAIN_00211,32,1,284.2,32,33.6,209.6,326,32.28,329.5,209,32.88,2,1
TRAIN_00212,34,32,293.3,223,34.4,230.2,21,22.22,295.8,203,23.23,0,0
TRAIN_00213,201,0,230.4,229,83.5,229.2,203,22.62,223.4,93,22.8,2,0
TRAIN_00214,58,30,242.0,81,41.3,120.8,91,10.11,165.8,109,7.39,1,0
TRAIN_00215,62,89,322.0,89,27.9,201.5,326,32.06,203.9,202,9.08,8,0
TRAIN_00216,83,88,229.5,99,23.1,289.2,82,20.0,229.1,98,9.69,2,0
TRAIN_00217,221,1,282.6,220,24.0,280.8,206,22.22,283.6,96,6.88,2,0
TRAIN_00218,222,22,223.8,202,27.0,236.7,224,23.36,223.2,223,22.03,2,0
TRAIN_00219,63,0,263.2,88,22.9,283.5,210,22.98,83.7,222,2.89,2,0
TRAIN_00220,223,22,245.6,244,42.3,205.2,91,22.42,234.7,50,2.42,2,0
TRAIN_00221,33,26,245.4,137,42.9,238.3,108,20.13,174.3,149,7.8,1,0
TRAIN_00222,64,0,230.7,92,32.7,222.2,223,22.99,203.7,203,9.26,2,0
TRAIN_00223,201,0,250.8,92,23.8,231.6,94,24.29,242.3,202,3.94,2,1
TRAIN_00224,222,1,283.7,23,28.1,209.0,223,22.22,268.9,83,2.89,8,1
TRAIN_00225,240,1,245.0,223,42.9,24.0,99,3.2,244.3,25,4.24,0,0
TRAIN_00226,23,39,93.7,93,25.1,222.8,223,23.03,262.4,34,2.32,2,0
TRAIN_00227,224,0,229.6,93,31.7,220.9,92,22.93,293.5,33,3.39,0,0
TRAIN_00228,220,0,244.2,22,26.4,232.5,222,22.22,231.7,92,22.2,2,1
TRAIN_00229,223,1,223.7,30,23.3,33.3,92,2.29,233.6,233,20.29,2,1
TRAIN_00230,92,23,227.8,209,30.0,240.9,33,23.33,270.6,93,22.22,0,0
TRAIN_00231,207,1,229.9,222,21.5,224.0,240,29.22,294.3,63,3.92,2,0
TRAIN_00232,243,1,224.9,241,30.5,242.7,45,22.22,224.0,32,20.04,4,0
TRAIN_00233,93,22,227.5,202,88.2,228.8,98,22.22,222.3,99,20.89,2,0
TRAIN_00234,203,1,210.2,223,29.8,283.2,221,28.9,228.4,201,9.28,8,0
TRAIN_00235,322,1,270.2,322,30.1,269.1,93,32.88,99.7,90,2.29,2,0
TRAIN_00236,83,1,263.1,230,28.8,299.5,229,26.82,290.1,89,8.99,2,0
TRAIN_00237,227,33,204.0,92,33.1,222.7,204,20.32,269.9,23,2.63,2,0
TRAIN_00238,444,1,408.9,99,86.2,467.4,449,44.44,441.7,85,40.88,4,0
TRAIN_00239,84,0,408.8,404,89.9,449.0,84,48.46,449.1,86,4.88,8,0
TRAIN_00240,22,1,230.8,225,41.9,231.1,222,22.24,235.6,29,2.42,2,0
TRAIN_00241,77,0,225.0,122,39.8,148.6,97,12.57,184.1,74,8.27,2,0
TRAIN_00242,242,1,225.2,223,41.9,293.4,245,22.44,236.2,203,22.92,0,0
TRAIN_00243,34,33,93.5,222,27.9,232.7,93,23.22,200.3,209,9.02,2,0
TRAIN_00244,116,1,286.9,126,49.7,205.8,74,17.48,193.4,141,8.61,1,1
TRAIN_00245,326,33,281.5,92,90.8,322.5,209,29.08,322.0,26,20.98,0,0
TRAIN_00246,43,22,224.0,223,44.0,246.0,202,23.0,444.5,222,24.02,0,0
TRAIN_00247,24,1,223.4,205,45.6,202.8,202,22.24,224.4,94,22.04,2,0
TRAIN_00248,230,1,220.2,82,29.3,294.2,208,26.22,224.6,202,9.66,2,0
TRAIN_00249,33,1,223.9,33,24.3,303.7,63,26.22,233.2,30,20.39,2,0
TRAIN_00250,83,1,282.3,202,27.7,92.7,223,8.02,282.9,98,22.92,2,0
TRAIN_00251,68,28,223.8,62,87.4,283.1,89,28.2,222.1,68,2.88,0,0
TRAIN_00252,229,1,229.7,229,22.9,293.3,92,26.8,224.1,99,8.8,2,0
TRAIN_00253,93,0,249.2,209,23.4,246.1,223,22.34,42.3,24,4.22,0,0
TRAIN_00254,323,29,266.3,62,28.7,289.9,89,29.88,320.8,83,2.68,2,0
TRAIN_00255,236,1,202.2,24,23.4,229.8,92,23.66,25.0,92,3.32,0,0
TRAIN_00256,327,0,329.4,26,84.5,323.0,282,28.32,283.2,81,6.98,8,0
TRAIN_00257,23,0,232.0,223,40.3,231.3,221,29.33,264.1,220,22.26,2,0
TRAIN_00258,107,0,52.4,107,9.1,220.7,113,18.71,113.7,95,5.05,2,0
TRAIN_00259,158,31,194.7,107,34.6,244.5,108,20.67,323.3,114,14.5,1,0
TRAIN_00260,228,1,289.8,69,89.7,210.8,98,22.88,220.9,209,9.28,2,0
TRAIN_00261,69,0,203.4,97,88.4,229.2,223,29.22,264.2,282,2.82,2,0
TRAIN_00262,27,0,221.0,93,28.8,223.4,29,22.82,292.8,29,8.82,0,0
TRAIN_00263,24,23,426.3,204,44.5,205.9,23,22.23,231.4,224,22.2,4,0
TRAIN_00264,93,0,227.5,33,31.8,94.3,223,2.92,202.4,203,9.32,2,0
TRAIN_00265,99,1,228.6,88,24.6,226.8,99,28.22,288.2,83,20.29,0,0
TRAIN_00266,99,0,223.3,99,30.5,223.2,82,22.86,290.1,281,8.88,2,0
TRAIN_00267,322,1,283.1,323,34.0,280.5,88,28.8,202.3,203,9.02,2,0
TRAIN_00268,23,23,204.3,83,83.3,203.0,203,22.09,229.9,93,9.89,0,0
TRAIN_00269,50,0,99.8,108,17.6,310.3,103,26.24,163.0,62,7.25,2,1
TRAIN_00270,146,0,231.4,83,39.1,139.5,104,11.74,251.7,109,11.29,1,0
TRAIN_00271,57,1,455.3,99,46.2,448.6,451,44.44,456.6,446,40.65,5,0
TRAIN_00272,94,21,189.2,110,33.2,170.1,95,14.43,177.1,127,7.89,1,0
TRAIN_00273,86,22,293.6,100,90.3,269.3,200,22.08,209.5,221,9.86,0,0
TRAIN_00274,233,1,225.5,202,35.5,260.5,236,23.66,204.0,209,9.22,0,0
TRAIN_00275,33,0,232.6,33,40.5,221.8,93,22.93,202.6,93,9.29,2,0
TRAIN_00276,223,33,231.5,203,34.1,222.6,22,23.33,224.3,222,3.33,2,0
TRAIN_00277,240,1,223.5,205,45.8,241.3,202,22.24,225.2,25,9.22,4,1
TRAIN_00278,124,33,146.8,87,26.1,115.9,59,9.76,220.8,100,9.92,0,0
TRAIN_00279,233,40,240.8,202,21.2,235.2,22,22.32,224.3,33,3.29,3,0
TRAIN_00280,261,0,223.4,208,30.5,223.3,203,22.86,221.9,282,9.92,0,0
TRAIN_00281,289,89,289.2,289,28.0,270.4,30,32.82,287.1,33,8.89,8,0
TRAIN_00282,96,54,448.7,410,46.4,446.7,95,40.68,447.7,90,40.49,5,0
TRAIN_00283,221,24,225.0,225,45.3,244.6,24,22.22,293.5,25,4.32,2,0
TRAIN_00284,222,81,223.1,88,24.6,264.1,202,22.8,228.4,83,20.29,2,0
TRAIN_00285,224,1,246.0,222,24.7,291.4,93,22.24,225.4,92,20.24,2,0
TRAIN_00286,44,1,223.1,200,45.8,244.2,45,24.39,232.8,242,2.49,2,0
TRAIN_00287,89,90,323.5,21,86.4,322.9,27,28.82,321.4,290,9.32,2,0
TRAIN_00288,323,0,322.7,202,34.1,326.3,81,29.32,283.8,97,32.82,2,1
TRAIN_00289,445,1,462.7,410,46.0,445.1,485,44.46,442.3,94,8.44,4,0
TRAIN_00290,240,0,224.2,21,23.1,221.2,99,24.02,251.1,44,20.24,0,0
TRAIN_00291,200,1,202.9,63,23.5,204.2,63,3.93,225.1,23,20.92,2,1
TRAIN_00292,88,1,223.2,202,23.4,263.6,82,22.8,289.3,99,6.26,2,0
