ID,TARGET
TEST_00130,0
TEST_00131,0
TEST_00132,0
TEST_00133,0
TEST_00134,0
TEST_00135,0
TEST_00136,1
TEST_00137,0
TEST_00138,0
TEST_00139,1
TEST_00140,1
TEST_00141,2
TEST_00142,0
TEST_00143,1
TEST_00144,2
TEST_00145,0
TEST_00146,0
TEST_00147,1
TEST_00148,0
TEST_00149,2
TEST_00150,1
TEST_00151,0
TEST_00152,2
TEST_00153,0
TEST_00154,0
TEST_00155,2
TEST_00156,1
TEST_00157,0
TEST_00158,1
TEST_00159,2
TEST_00160,1
TEST_00161,1
TEST_00162,2
TEST_00163,0
TEST_00164,0
TEST_00165,2
TEST_00166,2
TEST_00167,0
TEST_00168,0
TEST_00169,2
TEST_00170,0
TEST_00171,0
TEST_00172,1
TEST_00173,0
TEST_00174,0
TEST_00175,1
TEST_00176,0
TEST_00177,1
TEST_00178,0
TEST_00179,2
TEST_00180,1
TEST_00181,1
TEST_00182,0
TEST_00183,0
TEST_00184,1
TEST_00185,0
TEST_00186,0
TEST_00187,0
TEST_00188,1
TEST_00189,0
TEST_00190,0
TEST_00191,0
TEST_00192,0
TEST_00193,0
TEST_00194,0
TEST_00195,0
TEST_00196,2
TEST_00197,0
TEST_00198,0
TEST_00199,0
TEST_00200,1
TEST_00201,2
TEST_00202,1
TEST_00203,0
TEST_00204,0
TEST_00205,0
TEST_00206,0
TEST_00207,2
TEST_00208,0
TEST_00209,0
TEST_00210,0
TEST_00211,0
TEST_00212,0
TEST_00213,0
TEST_00214,1
TEST_00215,0
TEST_00216,0
TEST_00217,1
TEST_00218,2
TEST_00219,0
TEST_00220,2
TEST_00221,1
TEST_00222,0
TEST_00223,1
TEST_00224,0
TEST_00225,2
TEST_00226,2
TEST_00227,0
TEST_00228,0
TEST_00229,1
TEST_00230,1
TEST_00231,1
TEST_00232,0
TEST_00233,0
TEST_00234,2
TEST_00235,0
TEST_00236,0
TEST_00237,0
TEST_00238,0
TEST_00239,0
TEST_00240,1
TEST_00241,1
TEST_00242,0
TEST_00243,0
TEST_00244,2
TEST_00245,1
TEST_00246,0
TEST_00247,2
TEST_00248,0
TEST_00249,0
TEST_00250,0
TEST_00251,1
TEST_00252,1
TEST_00253,2
TEST_00254,0
TEST_00255,0
TEST_00256,0
TEST_00257,0
TEST_00258,0
TEST_00259,0
TEST_00260,0
TEST_00261,0
TEST_00262,0
TEST_00263,0
TEST_00264,1
TEST_00265,0
TEST_00266,2
TEST_00267,0
TEST_00268,0
TEST_00269,1
TEST_00270,2
TEST_00271,1
TEST_00272,0
TEST_00273,1
TEST_00274,0
TEST_00275,2
TEST_00276,0
TEST_00277,0
TEST_00278,0
TEST_00279,1
TEST_00280,0
TEST_00281,0
TEST_00282,1
TEST_00283,1
TEST_00284,0
TEST_00285,0
TEST_00286,2
TEST_00287,1
TEST_00288,1
TEST_00289,1
TEST_00290,1
TEST_00291,2
TEST_00292,0
TEST_00293,0
TEST_00294,1
TEST_00295,2
TEST_00296,0
TEST_00297,1
TEST_00298,0
TEST_00299,0
TEST_00300,0
TEST_00301,0
TEST_00302,0
TEST_00303,2
TEST_00304,1
TEST_00305,0
TEST_00306,0
TEST_00307,0
TEST_00308,0
TEST_00309,0
TEST_00310,1
TEST_00311,2
TEST_00312,2
TEST_00313,2
TEST_00314,2
TEST_00315,0
TEST_00316,1
TEST_00317,2
TEST_00318,0
TEST_00319,1
TEST_00320,1
TEST_00321,1
TEST_00322,2
TEST_00323,0
TEST_00324,1
TEST_00325,0
TEST_00326,0
TEST_00327,1
TEST_00328,1
TEST_00329,0
TEST_00330,0
TEST_00331,2
TEST_00332,2
TEST_00333,0
TEST_00334,0
TEST_00335,2
TEST_00336,0
TEST_00337,1
TEST_00338,0
TEST_00339,1
TEST_00340,0
TEST_00341,0
TEST_00342,0
TEST_00343,2
TEST_00344,2
TEST_00345,0
TEST_00346,0
TEST_00347,1
TEST_00348,0
TEST_00349,0
TEST_00350,0
TEST_00351,0
TEST_00352,2
TEST_00353,1
TEST_00354,0
TEST_00355,0
TEST_00356,0
TEST_00357,1
TEST_00358,1
TEST_00359,0
TEST_00360,0
TEST_00361,2
TEST_00362,0
TEST_00363,0
TEST_00364,2
TEST_00365,0
TEST_00366,2
TEST_00367,1
TEST_00368,1
TEST_00369,1
TEST_00370,0
TEST_00371,0
TEST_00372,2
TEST_00373,0
TEST_00374,0
TEST_00375,0
TEST_00376,0
TEST_00377,2
TEST_00378,0
TEST_00379,0
TEST_00380,1
TEST_00381,0
TEST_00382,0
TEST_00383,1
TEST_00384,1
TEST_00385,0
TEST_00386,0
TEST_00387,0
TEST_00388,1
TEST_00389,1
TEST_00390,0
TEST_00391,2
TEST_00392,0
TEST_00393,2
TEST_00394,1
TEST_00395,0
TEST_00396,2
TEST_00397,2
TEST_00398,0
TEST_00399,0
TEST_00400,1
TEST_00401,0
TEST_00402,1
TEST_00403,1
TEST_00404,0
TEST_00405,1
TEST_00406,0
TEST_00407,1
TEST_00408,0
TEST_00409,2
TEST_00410,2
TEST_00411,0
TEST_00412,0
TEST_00413,1
TEST_00414,1
TEST_00415,1
TEST_00416,2
TEST_00417,1
TEST_00418,1
TEST_00419,0
TEST_00420,2
TEST_00421,0
TEST_00422,1
TEST_00423,0
TEST_00424,0
TEST_00425,0
TEST_00426,2
TEST_00427,0
TEST_00428,2
TEST_00429,0
TEST_00430,0
TEST_00431,0
TEST_00432,1
TEST_00433,0
TEST_00434,0
TEST_00435,0
TEST_00436,2
TEST_00437,1
TEST_00438,2
TEST_00439,0
TEST_00440,1
TEST_00441,0
TEST_00442,0
TEST_00443,0
TEST_00444,1
TEST_00445,0
TEST_00446,0
TEST_00447,1
TEST_00448,0
TEST_00449,1
TEST_00450,0
TEST_00451,0
TEST_00452,1
TEST_00453,0
TEST_00454,1
TEST_00455,0
TEST_00456,1
TEST_00457,0
TEST_00458,0
TEST_00459,2
TEST_00460,2
TEST_00461,0
TEST_00462,2
TEST_00463,2
TEST_00464,0
TEST_00465,0
TEST_00466,0
TEST_00467,1
TEST_00468,0
TEST_00469,0
TEST_00470,0
TEST_00471,0
TEST_00472,0
TEST_00473,2
TEST_00474,2
TEST_00475,2
TEST_00476,1
TEST_00477,0
TEST_00478,0
TEST_00479,1
TEST_00480,0
TEST_00481,0
TEST_00482,1
TEST_00483,0
TEST_00484,2
TEST_00485,2
TEST_00486,2
TEST_00487,2
TEST_00488,1
TEST_00489,0
TEST_00490,1
TEST_00491,2
TEST_00492,0
TEST_00493,0
TEST_00494,0
TEST_00495,1
TEST_00496,0
TEST_00497,0
TEST_00498,0
TEST_00499,1
TEST_00500,0
TEST_00501,0
TEST_00502,0
TEST_00503,0
TEST_00504,0
TEST_00505,2
TEST_00506,0
TEST_00507,0
TEST_00508,0
TEST_00509,1
TEST_00510,0
TEST_00511,0
TEST_00512,1
TEST_00513,0
TEST_00514,0
TEST_00515,0
TEST_00516,1
TEST_00517,0
TEST_00518,0
TEST_00519,0
TEST_00520,2
TEST_00521,0
TEST_00522,0
TEST_00523,1
TEST_00524,0
TEST_00525,1
TEST_00526,0
TEST_00527,0
TEST_00528,2
TEST_00529,0
TEST_00530,2
TEST_00531,2
TEST_00532,0
TEST_00533,0
TEST_00534,2
TEST_00535,2
TEST_00536,1
TEST_00537,1
TEST_00538,1
TEST_00539,2
TEST_00540,0
TEST_00541,2
TEST_00542,0
TEST_00543,1
TEST_00544,0
TEST_00545,0
TEST_00546,0
TEST_00547,1
TEST_00548,0
TEST_00549,2
TEST_00550,2
TEST_00551,0
TEST_00552,0
TEST_00553,0
TEST_00554,0
TEST_00555,0
TEST_00556,2
TEST_00557,0
TEST_00558,2
TEST_00559,2
TEST_00560,0
TEST_00561,2
TEST_00562,2
TEST_00563,1
TEST_00564,0
TEST_00565,1
TEST_00566,2
TEST_00567,0
TEST_00568,0
TEST_00569,2
TEST_00570,2
TEST_00571,0
TEST_00572,1
TEST_00573,0
TEST_00574,1
TEST_00575,0
TEST_00576,0
TEST_00577,0
TEST_00578,0
TEST_00579,0
TEST_00580,2
TEST_00581,2
TEST_00582,1
TEST_00583,2
TEST_00584,1
TEST_00585,0
TEST_00586,0
TEST_00587,0
TEST_00588,2
TEST_00589,0
TEST_00590,0
TEST_00591,0
TEST_00592,0
TEST_00593,2
TEST_00594,0
TEST_00595,1
TEST_00596,1
TEST_00597,2
TEST_00598,0
TEST_00599,0
TEST_00600,1
TEST_00601,1
TEST_00602,1
TEST_00603,0
TEST_00604,0
TEST_00605,0
TEST_00606,1
TEST_00607,0
TEST_00608,0
TEST_00609,1
TEST_00610,2
TEST_00611,0
TEST_00612,2
TEST_00613,0
TEST_00614,0
TEST_00615,0
TEST_00616,2
TEST_00617,1
TEST_00618,0
TEST_00619,1
TEST_00620,1
TEST_00621,0
TEST_00622,0
TEST_00623,0
TEST_00624,1
TEST_00625,1
TEST_00626,0
TEST_00627,0
TEST_00628,2
TEST_00629,1
TEST_00630,0
TEST_00631,1
TEST_00632,0
TEST_00633,0
TEST_00634,0
TEST_00635,0
TEST_00636,1
TEST_00637,0
TEST_00638,1
TEST_00639,0
TEST_00640,0
TEST_00641,0
TEST_00642,0
TEST_00643,1
TEST_00644,2
TEST_00645,0
TEST_00646,2
TEST_00647,1
TEST_00648,0
TEST_00649,2
TEST_00650,0
TEST_00651,0
TEST_00652,0
TEST_00653,1
TEST_00654,0
TEST_00655,1
TEST_00656,0
TEST_00657,2
TEST_00658,1
TEST_00659,0
TEST_00660,0
TEST_00661,0
TEST_00662,1
TEST_00663,0
TEST_00664,2
TEST_00665,0
TEST_00666,2
TEST_00667,0
TEST_00668,1
TEST_00669,0
TEST_00670,0
TEST_00671,0
TEST_00672,1
TEST_00673,1
TEST_00674,2
TEST_00675,0
TEST_00676,0
TEST_00677,0
TEST_00678,0
TEST_00679,2
TEST_00680,0
TEST_00681,2
TEST_00682,0
TEST_00683,1
TEST_00684,0
TEST_00685,0
TEST_00686,1
TEST_00687,1
TEST_00688,1
TEST_00689,2
TEST_00690,0
TEST_00691,1
TEST_00692,0
TEST_00693,0
TEST_00694,1
TEST_00695,1
TEST_00696,0
TEST_00697,2
TEST_00698,1
TEST_00699,1
TEST_00700,0
TEST_00701,0
TEST_00702,1
TEST_00703,0
TEST_00704,0
TEST_00705,1
TEST_00706,2
TEST_00707,1
TEST_00708,2
TEST_00709,1
TEST_00710,0
TEST_00711,0
TEST_00712,2
TEST_00713,0
TEST_00714,1
TEST_00715,2
TEST_00716,0
TEST_00717,1
TEST_00718,1
TEST_00719,0
TEST_00720,1
TEST_00721,1
TEST_00722,0
TEST_00723,0
TEST_00724,1
TEST_00725,2
TEST_00726,1
TEST_00727,0
TEST_00728,0
TEST_00729,0
TEST_00730,0
TEST_00731,1
TEST_00732,0
TEST_00733,2
TEST_00734,2
TEST_00735,0
TEST_00736,0
TEST_00737,0
TEST_00738,2
TEST_00739,0
TEST_00740,1
TEST_00741,0
TEST_00742,1
TEST_00743,1
TEST_00744,0
TEST_00745,0
TEST_00746,0
TEST_00747,0
TEST_00748,1
TEST_00749,1
TEST_00750,0
TEST_00751,1
TEST_00752,0
TEST_00753,1
TEST_00754,2
TEST_00755,1
TEST_00756,1
TEST_00757,0
TEST_00758,0
TEST_00759,2
TEST_00760,0
TEST_00761,1
TEST_00762,2
TEST_00763,2
TEST_00764,0
TEST_00765,1
TEST_00766,0
TEST_00767,0
TEST_00768,0
TEST_00769,0
TEST_00770,1
TEST_00771,0
TEST_00772,1
TEST_00773,0
TEST_00774,2
TEST_00775,0
TEST_00776,2
TEST_00777,0
TEST_00778,1
TEST_00779,0
TEST_00780,1
TEST_00781,2
TEST_00782,0
TEST_00783,0
TEST_00784,2
TEST_00785,0
TEST_00786,0
TEST_00787,0
TEST_00788,1
TEST_00789,0
TEST_00790,0
TEST_00791,0
TEST_00792,2
TEST_00793,0
TEST_00794,2
TEST_00795,1
TEST_00796,1
TEST_00797,0
TEST_00798,0
TEST_00799,0
TEST_00800,0
TEST_00801,0
TEST_00802,2
TEST_00803,0
TEST_00804,0
TEST_00805,0
TEST_00806,0
TEST_00807,0
TEST_00808,1
TEST_00809,2
TEST_00810,1
TEST_00811,1
TEST_00812,1
TEST_00813,1
TEST_00814,2
TEST_00815,0
TEST_00816,0
TEST_00817,1
TEST_00818,0
TEST_00819,0
TEST_00820,1
TEST_00821,2
TEST_00822,1
TEST_00823,2
TEST_00824,1
TEST_00825,0
TEST_00826,0
TEST_00827,1
TEST_00828,0
TEST_00829,0
TEST_00830,0
TEST_00831,0
TEST_00832,0
TEST_00833,0
TEST_00834,0
TEST_00835,2
TEST_00836,0
TEST_00837,1
TEST_00838,0
TEST_00839,0
TEST_00840,1
TEST_00841,0
TEST_00842,2
TEST_00843,0
TEST_00844,0
TEST_00845,0
TEST_00846,0
TEST_00847,0
TEST_00848,0
TEST_00849,0
TEST_00850,1
TEST_00851,2
TEST_00852,0
TEST_00853,1
TEST_00854,2
TEST_00855,0
TEST_00856,0
TEST_00857,2
TEST_00858,0
TEST_00859,0
TEST_00860,1
TEST_00861,0
TEST_00862,1
TEST_00863,0
TEST_00864,2
TEST_00865,0
TEST_00866,0
TEST_00867,2
TEST_00868,0
TEST_00869,0
TEST_00870,2
TEST_00871,1
TEST_00872,0
TEST_00873,1
TEST_00874,1
TEST_00875,0
TEST_00876,0
TEST_00877,1
TEST_00878,0
TEST_00879,0
TEST_00880,0
TEST_00881,0
TEST_00882,0
TEST_00883,0
TEST_00884,0
TEST_00885,0
TEST_00886,1
TEST_00887,2
TEST_00888,2
TEST_00889,0
TEST_00890,0
TEST_00891,0
TEST_00892,2
TEST_00893,1
TEST_00894,1
TEST_00895,1
TEST_00896,1
TEST_00897,0
TEST_00898,1
TEST_00899,0
TEST_00900,0
TEST_00901,2
TEST_00902,0
TEST_00903,2
TEST_00904,0
TEST_00905,1
TEST_00906,2
TEST_00907,0
TEST_00908,0
TEST_00909,0
TEST_00910,0
TEST_00911,0
TEST_00912,2
TEST_00913,2
TEST_00914,1
TEST_00915,0
TEST_00916,0
TEST_00917,0
TEST_00918,0
TEST_00919,0
TEST_00920,2
TEST_00921,2
TEST_00922,0
TEST_00923,0
TEST_00924,2
TEST_00925,0
TEST_00926,1
TEST_00927,0
TEST_00928,0
TEST_00929,0
TEST_00930,1
TEST_00931,1
TEST_00932,0
TEST_00933,2
TEST_00934,2
TEST_00935,1
TEST_00936,1
TEST_00937,1
TEST_00938,2
TEST_00939,1
TEST_00940,0
TEST_00941,0
TEST_00942,1
TEST_00943,1
TEST_00944,0
TEST_00945,0
TEST_00946,0
TEST_00947,0
TEST_00948,0
TEST_00949,1
TEST_00950,0
TEST_00951,1
TEST_00952,0
TEST_00953,2
TEST_00954,0
TEST_00955,0
TEST_00956,1
TEST_00957,1
TEST_00958,0
TEST_00959,0
TEST_00960,2
TEST_00961,0
TEST_00962,0
TEST_00963,0
TEST_00964,0
TEST_00965,0
TEST_00966,1
TEST_00967,0
TEST_00968,0
TEST_00969,0
TEST_00970,1
TEST_00971,1
TEST_00972,1
TEST_00973,0
TEST_00974,0
TEST_00975,1
TEST_00976,0
TEST_00977,2
TEST_00978,1
TEST_00979,0
TEST_00980,0
TEST_00981,1
TEST_00982,0
TEST_00983,2
TEST_00984,0
TEST_00985,0
TEST_00986,0
TEST_00987,2
TEST_00988,0
TEST_00989,0
TEST_00990,0
TEST_00991,2
TEST_00992,2
TEST_00993,0
TEST_00994,1
TEST_00995,0
TEST_00996,2
TEST_00997,2
TEST_00998,0
TEST_00999,2
TEST_01000,0
TEST_01001,0
TEST_01002,2
TEST_01003,1
TEST_01004,1
TEST_01005,0
TEST_01006,1
TEST_01007,0
TEST_01008,0
TEST_01009,0
TEST_01010,1
TEST_01011,0
TEST_01012,1
TEST_01013,2
TEST_01014,2
TEST_01015,0
TEST_01016,1
TEST_01017,1
TEST_01018,0
TEST_01019,0
TEST_01020,0
TEST_01021,1
TEST_01022,0
TEST_01023,2
TEST_01024,0
TEST_01025,1
TEST_01026,2
TEST_01027,0
TEST_01028,0
TEST_01029,1
TEST_01030,1
TEST_01031,0
TEST_01032,1
TEST_01033,1
TEST_01034,0
TEST_01035,0
TEST_01036,1
TEST_01037,0
TEST_01038,0
TEST_01039,2
TEST_01040,0
TEST_01041,2
TEST_01042,0
TEST_01043,0
TEST_01044,0
TEST_01045,1
TEST_01046,2
TEST_01047,0
TEST_01048,2
TEST_01049,1
TEST_01050,2
TEST_01051,2
TEST_01052,1
TEST_01053,1
TEST_01054,2
TEST_01055,0
TEST_01056,1
TEST_01057,0
TEST_01058,0
TEST_01059,0
TEST_01060,0
TEST_01061,2
TEST_01062,1
TEST_01063,0
TEST_01064,0
TEST_01065,0
TEST_01066,1
TEST_01067,2
TEST_01068,1
TEST_01069,1
TEST_01070,0
TEST_01071,0
TEST_01072,0
TEST_01073,0
TEST_01074,0
TEST_01075,0
TEST_01076,0
TEST_01077,0
TEST_01078,1
TEST_01079,0
TEST_01080,2
TEST_01081,1
TEST_01082,0
TEST_01083,0
TEST_01084,2
TEST_01085,0
TEST_01086,1
TEST_01087,0
TEST_01088,0
TEST_01089,1
TEST_01090,0
TEST_01091,0
TEST_01092,0
TEST_01093,2
TEST_01094,1
TEST_01095,2
TEST_01096,0
TEST_01097,0
TEST_01098,0
TEST_01099,2
TEST_01100,2
TEST_01101,0
TEST_01102,0
TEST_01103,2
TEST_01104,2
TEST_01105,0
TEST_01106,0
TEST_01107,0
TEST_01108,0
TEST_01109,0
TEST_01110,0
TEST_01111,0
TEST_01112,2
TEST_01113,1
TEST_01114,0
TEST_01115,0
TEST_01116,0
TEST_01117,0
TEST_01118,1
TEST_01119,1
TEST_01120,1
TEST_01121,0
TEST_01122,0
TEST_01123,1
TEST_01124,0
TEST_01125,0
TEST_01126,0
TEST_01127,0
TEST_01128,2
TEST_01129,0
TEST_01130,0
TEST_01131,0
TEST_01132,2
TEST_01133,2
TEST_01134,0
TEST_01135,0
TEST_01136,2
TEST_01137,1
TEST_01138,2
TEST_01139,2
TEST_01140,1
TEST_01141,2
TEST_01142,2
TEST_01143,2
TEST_01144,0
TEST_01145,2
TEST_01146,1
TEST_01147,0
TEST_01148,0
TEST_01149,1
TEST_01150,0
TEST_01151,0
TEST_01152,0
TEST_01153,0
TEST_01154,0
TEST_01155,2
TEST_01156,0
TEST_01157,0
TEST_01158,1
TEST_01159,1
TEST_01160,0
TEST_01161,0
TEST_01162,0
TEST_01163,0
TEST_01164,0
TEST_01165,0
TEST_01166,0
TEST_01167,1
TEST_01168,1
TEST_01169,2
TEST_01170,2
TEST_01171,0
TEST_01172,2
TEST_01173,1
TEST_01174,2
TEST_01175,0
TEST_01176,2
TEST_01177,2
TEST_01178,0
TEST_01179,2
TEST_01180,0
TEST_01181,0
TEST_01182,0
TEST_01183,0
TEST_01184,0
TEST_01185,1
TEST_01186,0
TEST_01187,0
TEST_01188,0
TEST_01189,0
TEST_01190,0
TEST_01191,0
TEST_01192,0
TEST_01193,1
TEST_01194,1
TEST_01195,2
TEST_01196,0
TEST_01197,0
TEST_01198,2
TEST_01199,2
TEST_01200,2
TEST_01201,2
TEST_01202,0
TEST_01203,0
TEST_01204,0
TEST_01205,1
TEST_01206,2
TEST_01207,0
TEST_01208,0
TEST_01209,0
TEST_01210,1
TEST_01211,1
TEST_01212,1
TEST_01213,0
TEST_01214,0
TEST_01215,1
TEST_01216,2
TEST_01217,0
TEST_01218,0
TEST_01219,1
TEST_01220,0
TEST_01221,1
TEST_01222,2
TEST_01223,2
TEST_01224,0
TEST_01225,0
TEST_01226,0
TEST_01227,0
TEST_01228,1
TEST_01229,1
TEST_01230,1
TEST_01231,2
TEST_01232,1
TEST_01233,1
TEST_01234,1
TEST_01235,2
TEST_01236,0
TEST_01237,1
TEST_01238,0
TEST_01239,2
TEST_01240,1
TEST_01241,0
TEST_01242,1
TEST_01243,2
TEST_01244,0
TEST_01245,1
TEST_01246,2
TEST_01247,1
TEST_01248,0
TEST_01249,0
TEST_01250,0
TEST_01251,2
TEST_01252,0
TEST_01253,1
TEST_01254,2
TEST_01255,1
TEST_01256,0
TEST_01257,0
TEST_01258,0
TEST_01259,0
TEST_01260,2
TEST_01261,0
TEST_01262,1
TEST_01263,0
TEST_01264,2
TEST_01265,2
TEST_01266,0
TEST_01267,0
TEST_01268,1
TEST_01269,2
TEST_01270,1
TEST_01271,2
TEST_01272,2
TEST_01273,0
TEST_01274,0
TEST_01275,0
TEST_01276,0
TEST_01277,2
TEST_01278,0
TEST_01279,0
TEST_01280,2
TEST_01281,2
TEST_01282,0
TEST_01283,0
TEST_01284,0
TEST_01285,0
TEST_01286,2
TEST_01287,1
TEST_01288,1
TEST_01289,0
TEST_01290,2
TEST_01291,0
TEST_01292,0
TEST_01293,1
TEST_01294,1
TEST_01295,2
TEST_01296,2
TEST_01297,0
TEST_01298,0
TEST_01299,0
TEST_01300,1
TEST_01301,0
TEST_01302,0
TEST_01303,0
TEST_01304,2
TEST_01305,0
TEST_01306,1
TEST_01307,0
TEST_01308,0
TEST_01309,0
TEST_01310,1
TEST_01311,1
TEST_01312,0
TEST_01313,0
TEST_01314,0
TEST_01315,2
TEST_01316,2
TEST_01317,0
TEST_01318,0
TEST_01319,0
TEST_01320,0
TEST_01321,2
TEST_01322,0
TEST_01323,1
TEST_01324,0
TEST_01325,0
TEST_01326,1
TEST_01327,2
TEST_01328,1
TEST_01329,1
TEST_01330,2
TEST_01331,0
TEST_01332,1
TEST_01333,0
TEST_01334,0
TEST_01335,0
TEST_01336,0
TEST_01337,2
TEST_01338,0
TEST_01339,1
TEST_01340,0
TEST_01341,1
TEST_01342,2
TEST_01343,0
TEST_01344,2
TEST_01345,1
TEST_01346,0
TEST_01347,0
TEST_01348,0
TEST_01349,2
TEST_01350,0
TEST_01351,2
TEST_01352,2
TEST_01353,0
TEST_01354,2
TEST_01355,0
TEST_01356,0
TEST_01357,0
TEST_01358,2
TEST_01359,2
TEST_01360,0
TEST_01361,0
TEST_01362,2
TEST_01363,2
TEST_01364,1
TEST_01365,0
TEST_01366,0
TEST_01367,2
TEST_01368,0
TEST_01369,0
TEST_01370,0
TEST_01371,1
TEST_01372,2
TEST_01373,0
TEST_01374,0
TEST_01375,2
TEST_01376,1
TEST_01377,1
TEST_01378,1
TEST_01379,1
TEST_01380,2
TEST_01381,0
TEST_01382,0
TEST_01383,2
TEST_01384,1
TEST_01385,1
TEST_01386,2
TEST_01387,2
TEST_01388,1
TEST_01389,2
TEST_01390,1
TEST_01391,0
TEST_01392,2
TEST_01393,0
TEST_01394,0
TEST_01395,0
TEST_01396,0
TEST_01397,0
TEST_01398,1
TEST_01399,0
TEST_01400,2
TEST_01401,0
TEST_01402,2
TEST_01403,1
TEST_01404,2
TEST_01405,0
TEST_01406,1
TEST_01407,0
TEST_01408,2
TEST_01409,2
TEST_01410,2
TEST_01411,2
TEST_01412,1
TEST_01413,0
TEST_01414,0
TEST_01415,0
TEST_01416,2
TEST_01417,0
TEST_01418,0
TEST_01419,2
TEST_01420,1
TEST_01421,2
TEST_01422,0
TEST_01423,2
TEST_01424,0
TEST_01425,2
TEST_01426,2
TEST_01427,0
TEST_01428,1
TEST_01429,0
TEST_01430,0
TEST_01431,0
TEST_01432,1
TEST_01433,0
TEST_01434,0
TEST_01435,0
TEST_01436,0
TEST_01437,0
TEST_01438,1
TEST_01439,0
TEST_01440,1
TEST_01441,2
TEST_01442,0
TEST_01443,1
TEST_01444,2
TEST_01445,2
TEST_01446,2
TEST_01447,2
TEST_01448,0
TEST_01449,0
TEST_01450,0
TEST_01451,1
TEST_01452,1
TEST_01453,1
TEST_01454,2
TEST_01455,2
TEST_01456,1
TEST_01457,0
TEST_01458,0
TEST_01459,0
TEST_01460,0
TEST_01461,0
TEST_01462,0
TEST_01463,2
TEST_01464,1
TEST_01465,0
TEST_01466,0
TEST_01467,2
TEST_01468,0
TEST_01469,2
TEST_01470,1
TEST_01471,2
TEST_01472,0
TEST_01473,0
TEST_01474,0
TEST_01475,0
TEST_01476,2
TEST_01477,2
TEST_01478,0
TEST_01479,0
TEST_01480,1
TEST_01481,0
TEST_01482,0
TEST_01483,2
TEST_01484,0
TEST_01485,0
TEST_01486,0
TEST_01487,0
TEST_01488,0
TEST_01489,0
TEST_01490,1
TEST_01491,2
TEST_01492,1
TEST_01493,1
TEST_01494,2
TEST_01495,2
TEST_01496,2
TEST_01497,0
TEST_01498,1
TEST_01499,0
TEST_01500,2
TEST_01501,1
TEST_01502,0
TEST_01503,2
TEST_01504,0
TEST_01505,0
TEST_01506,2
TEST_01507,0
TEST_01508,0
TEST_01509,0
TEST_01510,0
TEST_01511,0
TEST_01512,2
TEST_01513,0
TEST_01514,1
TEST_01515,0
TEST_01516,0
TEST_01517,1
TEST_01518,1
TEST_01519,0
TEST_01520,0
TEST_01521,0
TEST_01522,0
TEST_01523,0
TEST_01524,1
TEST_01525,0
TEST_01526,2
TEST_01527,0
TEST_01528,2
TEST_01529,0
TEST_01530,2
TEST_01531,0
TEST_01532,0
TEST_01533,0
TEST_01534,1
TEST_01535,0
TEST_01536,0
TEST_01537,0
TEST_01538,0
TEST_01539,1
TEST_01540,1
TEST_01541,0
TEST_01542,0
TEST_01543,2
TEST_01544,1
TEST_01545,0
TEST_01546,0
TEST_01547,0
TEST_01548,0
TEST_01549,1
TEST_01550,0
TEST_01551,1
TEST_01552,0
