iter	MultiClass
176	1.098562872
177	1.098562641
178	1.098562062
179	1.098561946
180	1.098561831
181	1.098561137
182	1.098560905
183	1.098560789
184	1.098560442
185	1.09855998
186	1.098559633
187	1.098559633
188	1.098559285
189	1.098558823
190	1.098558476
191	1.098558013
192	1.098558244
193	1.09855755
194	1.098557666
195	1.098557434
196	1.098557203
197	1.098556971
198	1.098556162
199	1.098556046
200	1.098555467
201	1.098555005
202	1.098555005
203	1.098554657
204	1.098553963
205	1.09855431
206	1.098554079
207	1.098553848
208	1.098553038
209	1.098552691
210	1.098552691
211	1.098552228
212	1.098552228
213	1.098551996
214	1.098551649
215	1.098551071
216	1.098550724
217	1.098550492
218	1.098549798
219	1.098549335
220	1.098549451
221	1.098549682
222	1.098548872
223	1.098548757
224	1.098548294
225	1.098547831
226	1.0985476
227	1.098547484
228	1.0985476
229	1.098546906
230	1.098546674
231	1.098546674
232	1.098546443
233	1.098545749
234	1.09854598
235	1.098545517
236	1.09854517
237	1.098544707
238	1.098544592
239	1.09854436
240	1.09854436
241	1.098544129
242	1.098544129
243	1.098543897
244	1.098543435
245	1.098542856
246	1.098542625
247	1.098542509
248	1.098542162
249	1.098541815
250	1.098541583
251	1.098541121
252	1.098541121
253	1.098540889
254	1.098540542
255	1.098539964
256	1.098539964
257	1.098539732
258	1.098539501
259	1.098539385
260	1.098538922
261	1.098538459
262	1.098538228
263	1.098537881
264	1.098537881
265	1.098537881
266	1.098537071
267	1.098537071
268	1.098537302
269	1.098536724
270	1.098536377
271	1.098536261
272	1.098535567
273	1.098535336
274	1.098535336
275	1.098534873
276	1.098534757
277	1.098534641
278	1.098533716
279	1.098533716
280	1.098533369
281	1.098533137
282	1.09853279
283	1.098532096
284	1.098532096
285	1.098531749
286	1.098531633
287	1.098531633
288	1.098530823
289	1.098530939
290	1.098530361
291	1.098530592
292	1.098530013
293	1.098529204
294	1.098529435
295	1.098528625
296	1.098528856
297	1.098528394
298	1.098527584
299	1.098527699
300	1.098527699
301	1.098527005
302	1.098527005
303	1.098526658
304	1.098526195
305	1.098525501
306	1.098525964
307	1.098525385
308	1.09852527
309	1.098524807
310	1.098524228
311	1.098523881
312	1.098524113
313	1.098523881
314	1.098523187
315	1.098523534
316	1.098523071
317	1.098522724
318	1.098522493
319	1.098521799
320	1.098521799
321	1.098521683
322	1.098521567
323	1.098520989
324	1.098520642
325	1.098520179
326	1.098520179
327	1.098519716
328	1.098519832
329	1.098518906
330	1.098519138
331	1.098518675
332	1.098518212
333	1.098518328
334	1.098517402
335	1.098517749
336	1.098517634
337	1.098517402
338	1.098517055
339	1.098516824
340	1.098516245
341	1.098516014
342	1.098515551
343	1.09851532
344	1.098515204
345	1.098514972
346	1.09851451
347	1.098514047
348	1.098514047
349	1.098513468
350	1.098513237
351	1.098513353
352	1.09851289
353	1.098512427
354	1.098512774
355	1.09851208
356	1.09851208
357	1.098511154
358	1.098511154
359	1.098511154
360	1.09851127
361	1.098510113
362	1.09851046
363	1.098509766
364	1.098509766
365	1.098509187
366	1.098509303
367	1.098508956
368	1.098508609
369	1.098508146
370	1.098507683
371	1.098507683
372	1.098507221
373	1.098507105
374	1.098506411
375	1.098506526
376	1.098505716
377	1.098505832
378	1.098505369
379	1.098505254
380	1.098504675
381	1.098504559
382	1.098504097
383	1.09850375
384	1.09850375
385	1.09850375
386	1.098503171
387	1.09850294
388	1.098502477
389	1.098502245
390	1.098501436
391	1.098501667
392	1.098501089
393	1.098500973
394	1.098500857
395	1.098501089
396	1.098500394
397	1.098499932
398	1.0984997
399	1.098499816
400	1.098499353
401	1.09849889
402	1.098499006
403	1.098498543
404	1.098498427
405	1.098497849
406	1.098497386
407	1.098497502
408	1.098497039
409	1.098497155
410	1.098496576
411	1.098496229
412	1.098495998
413	1.098495651
414	1.098495535
415	1.098495072
416	1.098494494
417	1.098494494
418	1.098494609
419	1.098494031
420	1.098493799
421	1.098493221
422	1.098493105
423	1.09849299
424	1.098492758
425	1.098491948
426	1.098492064
427	1.098491833
428	1.098491138
429	1.098491023
430	1.098490907
431	1.098490676
432	1.098490097
433	1.098489981
434	1.098489519
435	1.098489519
436	1.09848894
437	1.09848894
438	1.098488709
439	1.09848813
440	1.098487783
441	1.098487436
442	1.098487436
443	1.09848651
444	1.098486626
445	1.098486395
446	1.098486279
447	1.098486395
448	1.0984857
449	1.098485816
450	1.098485122
451	1.098484891
452	1.098484891
453	1.098484196
454	1.098483849
455	1.098483849
456	1.098483849
457	1.098483502
458	1.098483039
459	1.098482924
460	1.098482345
461	1.098481767
462	1.098481882
463	1.09848142
464	1.098481651
465	1.098480841
466	1.098480957
467	1.09848061
468	1.098480494
469	1.098480147
470	1.098479915
471	1.098479337
472	1.098478758
473	1.098479221
474	1.098478643
475	1.098478527
476	1.09847818
477	1.098477601
478	1.098477601
479	1.09847737
480	1.098476792
481	1.098476792
482	1.098476907
483	1.098475982
484	1.098475519
485	1.098475519
486	1.098474825
487	1.098474478
488	1.098474246
489	1.098474015
490	1.09847413
491	1.098473783
492	1.098473205
493	1.098472973
494	1.098472626
495	1.098472395
496	1.098472279
497	1.098471701
498	1.098471585
499	1.098471238
500	1.098471354
501	1.09847066
502	1.098470891
503	1.098470428
504	1.098469965
505	1.098469734
506	1.098470081
507	1.098469271
508	1.098468808
509	1.098468577
510	1.098468461
511	1.09846823
512	1.098467998
513	1.098467767
514	1.098467189
515	1.09846661
516	1.098466726
517	1.098466494
518	1.098466379
519	1.098465684
520	1.0984658
521	1.098465453
522	1.098465453
523	1.098464759
524	1.098464643
525	1.098463949
526	1.09846418
527	1.09846337
528	1.098463255
529	1.098463023
530	1.098462561
531	1.098462561
532	1.098462098
533	1.098461635
534	1.098461635
535	1.098461404
536	1.098461635
537	1.098461056
538	1.098460825
539	1.098460015
540	1.098460362
541	1.098459668
542	1.098459668
543	1.098459205
544	1.098458858
545	1.098458627
546	1.098458627
547	1.098457817
548	1.098457817
549	1.09845747
550	1.09845747
551	1.09845666
552	1.098456776
553	1.098456197
554	1.098455966
555	1.098455619
556	1.098455271
557	1.09845504
558	1.098454693
559	1.09845423
560	1.09845423
561	1.098454114
562	1.098453536
563	1.098453189
564	1.098452842
565	1.09845261
566	1.098452726
567	1.098452032
568	1.098451916
569	1.098451685
570	1.098451106
571	1.098451106
572	1.098450412
573	1.098450528
574	1.098450528
575	1.098449949
576	1.098449834
577	1.098449718
578	1.098449371
579	1.098449139
580	1.098448792
581	1.098448329
582	1.098448445
583	1.098447867
584	1.098447751
585	1.098447404
586	1.098447288
587	1.098446363
588	1.098446594
589	1.098446478
590	1.098446131
591	1.098445553
592	1.098445784
593	1.098444974
594	1.098444743
595	1.098444627
596	1.098444396
597	1.098443933
598	1.098443586
599	1.098443239
600	1.098442776
601	1.098442429
602	1.098442313
603	1.098442082
604	1.09844185
605	1.098441388
606	1.09844104
607	1.098440925
608	1.098440693
609	1.098440115
610	1.098439883
611	1.098439652
612	1.098439421
613	1.098439421
614	1.098438842
615	1.098438726
616	1.098438611
617	1.098438032
618	1.098438032
619	1.098437222
620	1.098437222
621	1.098436875
622	1.09843676
623	1.098436412
624	1.098436297
625	1.098436181
626	1.098435718
627	1.098435255
628	1.098435024
629	1.098434908
630	1.098434446
631	1.098434677
632	1.098433867
633	1.098433983
634	1.09843352
635	1.098433404
636	1.098432941
637	1.098432826
638	1.098432826
639	1.098431784
640	1.098432132
641	1.098431322
642	1.098431553
643	1.098430627
644	1.098430859
645	1.09843028
646	1.098430049
647	1.098429586
648	1.098429586
649	1.098429008
650	1.098428545
651	1.098428429
652	1.098428313
653	1.098427619
654	1.098427619
655	1.098427619
656	1.098427156
657	1.098427041
658	1.098426462
659	1.098426694
660	1.098426231
661	1.098426115
662	1.098425537
663	1.09842519
664	1.098424958
665	1.098424842
666	1.098424611
667	1.098424033
668	1.098423801
669	1.098423685
670	1.098423454
671	1.098423223
672	1.098422876
673	1.098422413
674	1.098422297
675	1.098421603
676	1.098421603
677	1.098421603
678	1.09842114
679	1.098420677
680	1.098420562
681	1.09842033
682	1.098420214
683	1.098419636
684	1.09841952
685	1.098418595
686	1.098419057
687	1.098418132
688	1.098418595
689	1.098417669
690	1.098418016
691	1.098417669
692	1.098416743
693	1.098416743
694	1.098416512
695	1.098415934
696	1.098415818
697	1.098415471
698	1.098415471
699	1.098415008
700	1.098414892
701	1.098414198
702	1.098414082
703	1.09841362
704	1.09841362
705	1.098413273
706	1.098413041
707	1.098412925
708	1.098412578
709	1.098412231
710	1.098412116
711	1.098411653
712	1.098411537
713	1.098411421
714	1.098410727
715	1.098410496
716	1.098410611
717	1.098409917
718	1.098409686
719	1.098409686
720	1.098409107
721	1.098408876
722	1.09840876
723	1.098408297
724	1.098408182
725	1.09840795
726	1.098407488
727	1.098407719
728	1.098406909
729	1.098406446
730	1.098406331
731	1.098406099
732	1.098405521
733	1.098405752
734	1.098405405
735	1.098405636
736	1.098404826
737	1.098404364
738	1.098404132
739	1.098403901
740	1.098403669
741	1.098403322
742	1.098402975
743	1.09840286
744	1.098402512
745	1.098402281
746	1.09840205
747	1.098401471
748	1.098401355
749	1.09840124
750	1.098400893
751	1.098400661
752	1.098399967
753	1.098399851
754	1.098399967
755	1.098399851
756	1.098399041
757	1.098399157
758	1.098399041
759	1.09839881
760	1.098398347
761	1.098398347
762	1.098397769
763	1.098397306
764	1.09839719
765	1.098396727
766	1.098396149
767	1.098396496
768	1.098395918
769	1.098395339
770	1.098395339
771	1.098394992
772	1.098394876
773	1.098394761
774	1.098394182
775	1.098393604
776	1.098393719
777	1.098393256
778	1.098393025
779	1.098392794
780	1.098391984
781	1.098392215
782	1.098392099
783	1.098391521
784	1.098391637
785	1.09839129
786	1.098390711
787	1.098390364
788	1.098390017
789	1.098390017
790	1.098389323
791	1.098389091
792	1.098389091
793	1.09838886
794	1.098388513
795	1.098388166
796	1.098387934
797	1.098387471
798	1.098387124
799	1.098387009
800	1.09838643
801	1.09838643
802	1.098385967
803	1.09838562
804	1.098385505
805	1.098385505
806	1.098385389
807	1.098385273
808	1.09838481
809	1.098384463
810	1.098384232
811	1.098384001
812	1.098383653
813	1.098383191
814	1.098382959
815	1.098382381
816	1.098382149
817	1.098381802
818	1.098381455
819	1.098380992
820	1.098380761
821	1.098380645
822	1.09838053
823	1.098379951
824	1.098379951
825	1.098379257
826	1.098379373
827	1.098378794
828	1.098378563
829	1.098378563
830	1.098378563
831	1.098378216
832	1.098377753
833	1.09837729
834	1.098377059
835	1.098376596
836	1.098376943
837	1.098376364
838	1.098375902
839	1.098375902
840	1.09837567
841	1.098375092
842	1.098374976
843	1.098375092
844	1.09837405
845	1.098373935
846	1.098373588
847	1.098373356
848	1.098372893
849	1.098372778
850	1.098372778
851	1.098372431
852	1.098371968
853	1.098371621
854	1.098371505
855	1.098371389
856	1.098371042
857	1.098370811
858	1.098370464
859	1.098370464
860	1.098370232
861	1.098369538
862	1.098369654
863	1.098369075
864	1.098368844
865	1.098368381
866	1.098368265
867	1.098367571
868	1.098367571
869	1.098367108
870	1.098366877
871	1.098366877
872	1.09836653
873	1.098365836
874	1.098365604
875	1.098365373
876	1.098365141
877	1.09836491
878	1.098364447
879	1.098364447
880	1.0983641
881	1.0983641
882	1.098363869
883	1.098363175
884	1.09836329
885	1.098363522
886	1.098362596
887	1.098362712
888	1.098362018
889	1.098362018
890	1.098361555
891	1.098361092
892	1.098361092
893	1.098360861
894	1.098360745
895	1.098360629
896	1.098359819
897	1.098359472
898	1.098359472
899	1.098358894
900	1.098358315
901	1.098358315
902	1.098357968
903	1.098358084
904	1.098357505
905	1.098357621
906	1.098357042
907	1.098357158
908	1.09835658
909	1.098356695
910	1.098356117
911	1.098355654
912	1.098355076
913	1.098355076
914	1.098354613
915	1.098354613
916	1.098354034
917	1.098353803
918	1.098353224
919	1.098352762
920	1.098352993
921	1.09835253
922	1.09835253
923	1.098352183
924	1.098351605
925	1.098351489
926	1.098351026
927	1.098350679
928	1.098350679
929	1.098350332
930	1.098350216
931	1.098349869
932	1.098349175
933	1.098349175
934	1.098349291
935	1.098348596
936	1.098348596
937	1.098348596
938	1.098348134
939	1.098347671
940	1.098347439
941	1.098346977
942	1.098347092
943	1.098346398
944	1.098345935
945	1.098346167
946	1.09834582
947	1.098345588
948	1.098345935
949	1.098344894
950	1.09834501
951	1.098344547
952	1.098344316
953	1.098343968
954	1.09834339
955	1.098343043
956	1.098343043
957	1.09834258
958	1.098342002
959	1.098342464
960	1.098341654
961	1.098341307
962	1.098341076
963	1.098340382
964	1.098340613
965	1.098339803
966	1.098339919
967	1.098339572
968	1.098339456
969	1.098338762
970	1.098338878
971	1.098338299
972	1.098338183
973	1.098337489
974	1.098337489
975	1.098337142
976	1.098337374
977	1.098336911
978	1.098336332
979	1.098336332
980	1.098335638
981	1.098335638
982	1.098335638
983	1.09833506
984	1.09833506
985	1.098334597
986	1.098334018
987	1.098334365
988	1.09833425
989	1.098333671
990	1.098333324
991	1.098332977
992	1.098332861
993	1.098332977
994	1.098332514
995	1.098332398
996	1.098331473
997	1.09833182
998	1.098331126
999	1.098331241
1000	1.098330779
1001	1.098330432
1002	1.098330084
1003	1.098330316
1004	1.098329506
1005	1.098329275
1006	1.098328927
1007	1.09832858
1008	1.09832858
1009	1.098327886
1010	1.098327539
1011	1.098327655
1012	1.098327076
1013	1.098326961
1014	1.098326498
1015	1.098326266
1016	1.098326266
1017	1.098325919
1018	1.098325572
1019	1.098324994
1020	1.098325341
1021	1.098324415
1022	1.0983243
1023	1.098323837
1024	1.098323837
1025	1.098323374
1026	1.098323143
1027	1.098322911
1028	1.098322911
1029	1.098322564
1030	1.098322217
1031	1.098321754
1032	1.098321638
1033	1.09832106
1034	1.09832106
1035	1.098320481
1036	1.098320597
1037	1.098320597
1038	1.098320134
1039	1.098320019
1040	1.09831944
1041	1.098319209
1042	1.098318746
1043	1.098318515
1044	1.098318746
1045	1.098318052
1046	1.098317473
1047	1.09831701
1048	1.098317358
1049	1.098317126
1050	1.098316663
1051	1.098316316
1052	1.098316432
1053	1.098316085
1054	1.098315853
1055	1.098315391
1056	1.098314928
1057	1.098314812
1058	1.098314696
1059	1.098313887
1060	1.098314118
1061	1.098313077
1062	1.098313192
1063	1.098313077
1064	1.098312614
1065	1.09831192
1066	1.098311688
1067	1.098311688
1068	1.098311225
1069	1.098310531
1070	1.098310184
1071	1.098310184
1072	1.098309721
1073	1.098309721
1074	1.098309953
1075	1.098309374
1076	1.098309027
1077	1.098308449
1078	1.098308333
1079	1.09830787
1080	1.098307754
1081	1.098307523
1082	1.098307292
1083	1.09830706
1084	1.098306597
1085	1.098306713
1086	1.098306366
1087	1.098305556
1088	1.098305788
1089	1.098305325
1090	1.098305556
1091	1.098304862
1092	1.098305209
1093	1.098304746
1094	1.098304168
1095	1.098303705
1096	1.098304052
1097	1.098303011
1098	1.098302779
1099	1.098302664
1100	1.098302548
1101	1.098301969
1102	1.098301622
1103	1.098301391
1104	1.098301275
1105	1.098301044
1106	1.098300697
1107	1.098300234
1108	1.098300118
1109	1.098299655
1110	1.098299655
1111	1.098299308
1112	1.098299077
1113	1.098298961
1114	1.098298614
1115	1.098298267
1116	1.098297804
1117	1.098297804
1118	1.098297342
1119	1.098296994
1120	1.098296647
1121	1.098296532
1122	1.0982963
1123	1.098295143
1124	1.098295606
1125	1.09829549
1126	1.098294912
1127	1.098294912
1128	1.09829468
1129	1.09829468
1130	1.098293986
1131	1.098293871
1132	1.098293986
1133	1.098293408
1134	1.098292714
1135	1.098292366
1136	1.098291904
1137	1.098291672
1138	1.098291441
1139	1.098291441
1140	1.098291209
1141	1.098290747
1142	1.098290631
1143	1.098290515
1144	1.098290284
1145	1.098289937
1146	1.098289937
1147	1.098289358
1148	1.098289243
1149	1.098288895
1150	1.098288317
1151	1.098288086
1152	1.098287738
1153	1.098288086
1154	1.098287391
1155	1.098286929
1156	1.098286697
1157	1.098286697
1158	1.098286234
1159	1.098285772
1160	1.098286003
1161	1.098285077
1162	1.09828473
1163	1.098284499
1164	1.098284383
1165	1.098283805
1166	1.098283689
1167	1.098283342
1168	1.098282995
1169	1.098282879
1170	1.098282532
1171	1.098282532
1172	1.098282301
1173	1.098281606
1174	1.098281722
1175	1.098281375
1176	1.098281028
1177	1.098280218
1178	1.098280334
1179	1.098279871
1180	1.098279871
1181	1.098279292
1182	1.098278945
1183	1.098279292
1184	1.098279177
1185	1.098278945
1186	1.098278598
1187	1.098278135
1188	1.098277904
1189	1.098277557
1190	1.098276516
1191	1.098276516
1192	1.098276284
1193	1.0982764
1194	1.098276053
1195	1.098275474
1196	1.098275474
1197	1.098275011
1198	1.09827478
1199	1.098274896
1200	1.098274086
1201	1.098274086
1202	1.098273739
1203	1.098273507
1204	1.098272813
1205	1.098272929
1206	1.09827235
1207	1.09827235
1208	1.098271772
1209	1.098271772
1210	1.098271309
1211	1.098270962
1212	1.098270846
1213	1.098270268
1214	1.098270152
1215	1.098270268
1216	1.098269689
1217	1.098269805
1218	1.098269342
1219	1.098269226
1220	1.098268764
1221	1.098268301
1222	1.09826807
1223	1.098267838
1224	1.098267838
1225	1.098267722
1226	1.098266797
1227	1.098266797
1228	1.098266681
1229	1.098266334
1230	1.098265524
1231	1.098265987
1232	1.098265293
1233	1.098265177
1234	1.098264367
1235	1.098264599
1236	1.098263904
1237	1.09826402
1238	1.098263904
1239	1.098263442
1240	1.09826321
1241	1.098263094
1242	1.098262632
1243	1.0982624
1244	1.098262053
1245	1.098261822
1246	1.098261475
1247	1.098261128
1248	1.098260549
1249	1.098260896
1250	1.098260433
1251	1.098260202
1252	1.098259971
1253	1.098259623
1254	1.098259276
1255	1.098258582
1256	1.098258698
1257	1.098258466
1258	1.098257541
1259	1.098257541
1260	1.098257425
1261	1.098257078
1262	1.098257078
1263	1.098256615
1264	1.098256037
1265	1.098256268
1266	1.098256384
1267	1.098255458
1268	1.098255458
1269	1.098254995
1270	1.098254301
1271	1.09825407
1272	1.098253723
1273	1.098253723
1274	1.098253491
1275	1.098253144
1276	1.098252913
1277	1.09825245
1278	1.09825245
1279	1.098252103
1280	1.098251756
1281	1.098251872
1282	1.098250946
1283	1.09825083
1284	1.098250367
1285	1.098250483
1286	1.098249905
1287	1.098249905
1288	1.098249558
1289	1.098249558
1290	1.098249095
1291	1.098248632
1292	1.098248401
1293	1.098247822
1294	1.098247475
1295	1.098247475
1296	1.098247128
1297	1.098247012
1298	1.098246549
1299	1.098246318
1300	1.098246087
1301	1.098246434
1302	1.098245624
1303	1.098245624
1304	1.09824493
1305	1.098245161
1306	1.098244467
1307	1.098244351
1308	1.098243773
1309	1.098243541
1310	1.098243425
1311	1.098243078
1312	1.098243078
1313	1.098242616
1314	1.098242384
1315	1.098241921
1316	1.098242153
1317	1.098241574
1318	1.098241111
1319	1.098240764
1320	1.098240533
1321	1.098239839
1322	1.098239723
1323	1.098239839
1324	1.098239607
1325	1.098238566
1326	1.098239145
1327	1.098238798
1328	1.098238219
1329	1.098238219
1330	1.098238103
1331	1.098237872
1332	1.098237525
1333	1.098237178
1334	1.098236599
1335	1.098236021
1336	1.098236021
1337	1.098235558
1338	1.098235327
1339	1.098235327
1340	1.098235095
1341	1.098234401
1342	1.098234285
1343	1.098234054
1344	1.098234054
1345	1.098233591
1346	1.098233128
1347	1.098232897
1348	1.09823255
1349	1.098232203
1350	1.098232087
1351	1.098232203
1352	1.09823174
1353	1.098231508
1354	1.098231277
1355	1.098231046
1356	1.098230583
1357	1.098230467
1358	1.09823012
1359	1.098229773
1360	1.098229542
1361	1.098229194
1362	1.098228732
1363	1.098228269
1364	1.098228037
1365	1.098227922
1366	1.098227575
1367	1.098227343
1368	1.098226996
1369	1.098226996
1370	1.098226418
1371	1.098226302
1372	1.098225839
1373	1.098225261
1374	1.098225376
1375	1.098225145
1376	1.098224335
1377	1.098223872
1378	1.098223988
1379	1.098223525
1380	1.098223409
1381	1.098223294
1382	1.098223294
1383	1.098222715
1384	1.098222484
1385	1.098222484
1386	1.098222368
1387	1.098221327
1388	1.098221443
1389	1.098220864
1390	1.098220517
1391	1.098220054
1392	1.098220401
1393	1.098219938
1394	1.098219707
1395	1.098219244
1396	1.098218897
1397	1.098218666
1398	1.09821855
1399	1.098217972
1400	1.098217856
1401	1.098217972
1402	1.098217624
1403	1.098217046
1404	1.098217046
1405	1.098216467
1406	1.09821693
1407	1.098216236
1408	1.098216005
1409	1.098215542
1410	1.098215195
1411	1.098214963
1412	1.098215079
1413	1.098214269
1414	1.098214038
1415	1.098213806
1416	1.098213806
1417	1.098213228
1418	1.098213112
1419	1.098212996
1420	1.098212996
1421	1.098212071
1422	1.098211608
1423	1.098211261
1424	1.098211145
1425	1.098210798
1426	1.098210567
1427	1.098210451
1428	1.09821022
1429	1.098210104
1430	1.098209873
1431	1.098209294
1432	1.098209294
1433	1.098208947
1434	1.098208716
1435	1.098208484
1436	1.098207906
1437	1.098207559
1438	1.098207212
1439	1.098207559
1440	1.098206864
1441	1.098206517
1442	1.098205939
1443	1.098205939
1444	1.098205823
1445	1.098205592
1446	1.098205129
1447	1.098204898
1448	1.09820455
1449	1.098204435
1450	1.098204435
1451	1.098204319
1452	1.098203972
1453	1.098202931
1454	1.098203278
1455	1.098202699
1456	1.098202005
1457	1.098202005
1458	1.098201774
1459	1.098201542
1460	1.098201195
1461	1.098201079
1462	1.098201195
1463	1.098200385
1464	1.098199922
1465	1.098199807
1466	1.098199344
1467	1.09819946
1468	1.098198997
1469	1.09819865
1470	1.098198418
1471	1.098198303
1472	1.09819784
1473	1.09819784
1474	1.098197608
1475	1.098197146
1476	1.098196799
1477	1.098196104
1478	1.098196104
1479	1.098195989
1480	1.098195757
1481	1.098195294
1482	1.098194832
1483	1.098194832
1484	1.098194485
1485	1.098193906
1486	1.09819379
1487	1.098193675
1488	1.098193212
1489	1.098192865
1490	1.098192518
1491	1.098192286
1492	1.098192518
1493	1.098191939
1494	1.098191708
1495	1.098191129
1496	1.098190898
1497	1.098190551
1498	1.098190666
1499	1.098189972
1500	1.098189625
1501	1.098189509
1502	1.098189625
1503	1.098189625
1504	1.098189162
1505	1.098188815
1506	1.098188584
1507	1.098188237
1508	1.098187774
1509	1.098187658
1510	1.09818708
1511	1.098186848
1512	1.098186154
1513	1.098186038
1514	1.098186038
1515	1.098185691
1516	1.098185229
1517	1.098184881
1518	1.098185113
1519	1.098184766
1520	1.098184303
1521	1.098184187
1522	1.098183956
1523	1.098183146
1524	1.098183146
1525	1.098183146
1526	1.098182683
1527	1.098182567
1528	1.098181989
1529	1.098181873
1530	1.098181642
1531	1.098181295
1532	1.098181295
1533	1.098180601
1534	1.098180369
1535	1.098179906
1536	1.098179675
1537	1.098179444
1538	1.098178981
1539	1.098178981
1540	1.098178865
1541	1.098178518
1542	1.098177824
1543	1.09817794
1544	1.098177361
1545	1.098177014
1546	1.098177014
1547	1.098176667
1548	1.098176551
1549	1.09817632
1550	1.098176435
1551	1.098175741
1552	1.098175278
1553	1.098175163
1554	1.098175163
1555	1.098174584
1556	1.098174237
1557	1.098174121
1558	1.098174006
1559	1.098174006
1560	1.098173543
1561	1.098173427
1562	1.098172964
1563	1.098172964
1564	1.09817227
1565	1.098171923
1566	1.098171923
1567	1.098171576
1568	1.098170882
1569	1.098170535
1570	1.098170766
1571	1.098170072
1572	1.098169956
1573	1.098170072
1574	1.098169031
1575	1.098169262
1576	1.098168799
1577	1.098168221
1578	1.098167989
1579	1.098168221
1580	1.098167874
1581	1.098166832
1582	1.098167064
1583	1.09816637
1584	1.098166485
1585	1.098166254
1586	1.098166254
1587	1.098165328
1588	1.098165213
1589	1.098164403
1590	1.098164518
1591	1.098164403
1592	1.098163824
1593	1.098163824
1594	1.098163593
1595	1.098163477
1596	1.098163361
1597	1.098162899
1598	1.098162551
1599	1.098162204
1600	1.098162089
1601	1.098161163
1602	1.098161279
1603	1.098161279
1604	1.098160932
1605	1.098160816
1606	1.098160237
1607	1.098160122
1608	1.098159659
1609	1.098159543
1610	1.098159428
1611	1.098158849
1612	1.098158618
1613	1.098158502
1614	1.098158155
1615	1.098157576
1616	1.098156998
1617	1.098156998
1618	1.098156766
1619	1.098156766
1620	1.098156072
1621	1.098155841
1622	1.098156188
1623	1.098155725
1624	1.098155031
1625	1.098154568
1626	1.098154568
1627	1.0981548
1628	1.098153758
1629	1.098153643
1630	1.098153295
1631	1.098153064
1632	1.098152486
1633	1.098152254
1634	1.098152023
1635	1.098151791
1636	1.098151213
1637	1.098151444
1638	1.098151097
1639	1.098150866
1640	1.098150056
1641	1.098150403
1642	1.098150519
1643	1.098149709
1644	1.098149362
1645	1.098149477
1646	1.098148783
1647	1.098148668
1648	1.098148436
1649	1.098147973
1650	1.098147395
1651	1.098147279
1652	1.098147163
1653	1.098147163
1654	1.098147048
1655	1.098146701
1656	1.098145659
1657	1.098145891
1658	1.098145775
1659	1.098145428
1660	1.098144965
1661	1.098144502
1662	1.098144387
1663	1.09814404
