일시,평균기온(°C),최저기온(°C),최고기온(°C),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),평균 풍속(m/s),평균 이슬점온도(°C),평균 상대습도(%)
2021-08-30,25.5,22.7,29.9,0.7,1.9,1.9,7.2,2.9,0.6,23.7,91
2021-08-31,26.5,22.9,31,0,0,0,7.6,4.7,1.5,24.4,89.5
2022-08-01,27.6,25.5,30,0.3,0.8,1.5,10.4,4.9,2.8,27.3,98.4
2022-08-02,28,25.4,31.4,0.7,0.9,1.7,8.1,4.2,2.3,27.1,95.3
2022-08-03,27.9,25.6,31.4,5.9,7.3,11.4,6.2,3.3,1.3,27.4,97.3
2022-08-04,29,26.3,33.3,0,0,0,6.1,2.8,1.5,27.2,90.6
2022-08-05,29,26.6,32.5,0,0,0,6.7,3.9,2,27.7,93.3
2022-08-06,29.9,27.1,34.1,0,0,0,6.3,3.6,1.8,28.2,91.4
2022-08-07,29.9,27.3,34.2,0,0,0,9.7,6,2.4,27.7,89
2022-08-08,28.8,27.4,31.6,0,0,0,11.2,6.4,3.5,27.1,90.9
2022-08-09,28.7,26.8,32.2,0,0,0,10.6,6.4,3.6,27,91.1
2022-08-10,28.3,26.6,31,0,0,0,7.5,4.7,3,27,93.5
2022-08-11,26.3,25.6,27.4,0.4,1.5,9.1,5.7,3.6,1.9,26.1,99
2022-08-12,27.9,25.6,32,0.2,0.5,0.5,4.3,2.6,1,26.2,91.1
2022-08-13,27.9,24.4,31.8,0.1,0.1,0.1,7.7,4.7,1.7,27.1,95.6
2022-08-14,29.4,26.9,33.4,0,0,0,9.1,5.8,3.1,27.2,89.1
2022-08-15,29.4,27.6,32.9,0,0,0,12.6,8.3,4.7,27.3,89.6
2022-08-16,26.5,24.5,28.4,4.6,10.8,17,9.4,5.7,1.9,26.3,98.9
2022-08-17,26,23.6,30.2,0.1,0.1,0.1,4.8,2.4,0.6,24.9,94
2022-08-18,26.1,21.3,32,0,0,0,5.9,3,0.9,22.6,83
2022-08-19,27.4,22.5,32.2,0,0,0,9.3,5.4,2.1,26,92.9
2022-08-20,26.6,24.7,28.9,7.5,15.1,32.2,6.9,3.9,1.3,26.3,98.4
2022-08-21,27.4,24.1,32.1,0,0,0,3.8,1.9,0.7,25.5,90.4
2022-08-22,28,23.9,32.7,0,0,0,5.7,3.5,1.1,24,81
2022-08-23,26.5,24.5,29,12.3,23.8,24.7,6,3.2,0.9,26,97.5
2022-08-24,25.7,22.8,30.9,0.4,1.4,2.4,5.5,2.7,0.8,23.6,89.3
2022-08-25,24.9,21.8,29.9,0,0,0,6.5,2.7,1,20.4,77.8
2022-08-26,24.5,21,29.9,0,0,0,6.3,2.7,1.2,18.6,71.3
2022-08-27,22.8,19,26.8,0,0,0,6.6,2.9,1,17.5,75.5
2022-08-28,22.9,17.2,28.7,0,0,0,6.6,3.7,1.5,16.1,67
2022-08-29,21.7,19.8,23.5,0,0,0,5.3,3.1,1.3,19.6,88.4
2022-08-30,24.8,22,27.7,1.2,2,1.3,5.8,3.2,1.2,24.2,96.5
2022-08-31,23,21.1,27,1.8,2.4,4.4,6.4,2.9,1,21.7,92.9
