일시,평균기온(°C),최저기온(°C),최고기온(°C),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),평균 풍속(m/s),평균 이슬점온도(°C),평균 상대습도(%)
2022-08-08,29.1,27.1,31,0,0,0,8,3.6,1.7,23.1,70.6
2022-08-09,29,27,31.7,0,0,0,10,5,2.2,23,70.8
2022-08-10,27.8,25.2,30.2,3.4,7.8,18.2,7.7,3.6,1.7,23.8,79.9
2022-08-11,25.4,23.4,26.7,11.8,36.4,96.5,6.4,4.1,1.3,23.8,91.3
2022-08-12,27.2,24.6,31.4,4.8,5.7,6.7,6.4,3.7,1.2,23.4,80.5
2022-08-13,26.9,24.4,30.4,2.9,4.2,4.2,6.4,3.2,1.2,23.9,84.5
2022-08-14,29.2,26.1,33.3,0,0,0,6.5,3.6,1.8,23.9,74
2022-08-15,29.6,27,32.7,0,0,0,9.8,5.8,2.4,23.4,69.8
2022-08-16,25.7,23.2,28.9,19.4,52,116.2,11,6,1.4,24.3,92.1
2022-08-17,25.8,23.1,30.4,0,0,0,7.2,4.5,1.5,22.2,81.4
2022-08-18,25.8,20.8,31,0,0,0,5.3,3.3,1.3,20.2,73
2022-08-19,27.4,22,31.8,0,0,0,7.7,4.8,1.9,22.7,76.3
2022-08-20,26.4,24.4,29.9,12.9,15.3,31.1,9.4,4.6,1.4,23.8,86
2022-08-21,26.8,23.3,31.9,0,0,0,5,3,1.1,22.8,79.6
2022-08-22,27.7,24,32.2,0,0,0,8,4.1,1.1,22.7,75.5
2022-08-23,25.3,24.3,27.5,1.9,5.7,7.1,5.9,2.8,1.1,23.3,89.5
2022-08-24,23.5,21.8,27.4,0.5,2.1,3.9,4.2,2.3,0.8,21.8,90.6
2022-08-25,23.8,20.7,29.3,0,0,0,7.6,4.4,1.5,17.9,70.5
2022-08-26,23.3,17.7,28.3,0,0,0,7.2,4.3,1.3,17.6,71.4
2022-08-27,21.8,18.2,25.9,0,0,0,7.6,4.5,1.8,15.3,68.9
2022-08-28,22.3,16.2,28.7,0,0,0,5.4,2.5,1.1,14,62.1
2022-08-29,21.2,19.7,23.1,0.1,0.3,0.3,3.2,1.8,1.1,17.1,78.3
2022-08-30,21.7,20.3,24.2,2.1,3.8,9.7,4.5,2.7,1,20.2,91.6
2022-08-31,21.6,20.2,24.4,0.7,2,7.7,4.9,2.5,0.9,20,91.3
